n,T(n)
219,0.024375
219,0.024547
219,0.025559
220,0.024464
220,0.026422
220,0.023407
220,0.025487
220,0.022729
221,0.026109
221,0.025123
221,0.024096
221,0.024581
221,0.022841
222,0.025354
222,0.026758
222,0.025415
222,0.023214
222,0.025709
223,0.028298
223,0.024668
223,0.026493
223,0.026408
223,0.024597
224,0.025639
224,0.024921
224,0.023302
224,0.027238
224,0.023408
225,0.024047
225,0.023878
225,0.028077
225,0.025633
225,0.024688
226,0.027387
226,0.025079
226,0.027517
226,0.026181
226,0.023977
227,0.027515
227,0.026601
227,0.027584
227,0.023783
227,0.027584
228,0.026239
228,0.026731
228,0.027561
228,0.025766
228,0.024979
229,0.026023
229,0.026933
229,0.027286
229,0.0254
229,0.027195
230,0.024186
230,0.027716
230,0.023931
230,0.023709
230,0.023371
231,0.025077
231,0.027674
231,0.025745
231,0.029355
231,0.028359
232,0.027411
232,0.024465
232,0.026279
232,0.02821
232,0.031778
233,0.027317
233,0.027707
233,0.026825
233,0.02625
233,0.027038
234,0.025725
234,0.025073
234,0.028182
234,0.024626
234,0.025924
235,0.026937
235,0.025203
235,0.026131
235,0.025119
235,0.026527
236,0.028049
236,0.029606
236,0.025147
236,0.025116
236,0.026912
237,0.02873
237,0.027301
237,0.024146
237,0.029065
237,0.027011
238,0.026504
238,0.027751
238,0.025938
238,0.025298
238,0.027186
239,0.028009
239,0.027054
239,0.024692
239,0.028395
239,0.026895
240,0.026061
240,0.027512
240,0.025727
240,0.027858
240,0.028807
241,0.028007
241,0.030385
241,0.027283
241,0.029355
241,0.029426
242,0.030954
242,0.028238
242,0.028841
242,0.025836
242,0.029278
243,0.030434
243,0.028667
243,0.024553
243,0.028965
243,0.027217
244,0.026209
244,0.025504
244,0.029324
244,0.027634
244,0.027722
245,0.027365
245,0.030239
245,0.026084
245,0.029902
245,0.025748
246,0.030294
246,0.02685
246,0.028267
246,0.03014
246,0.02777
247,0.029336
247,0.032956
247,0.031918
247,0.029378
247,0.043409
248,0.030858
248,0.025801
248,0.028201
248,0.027591
248,0.041785
249,0.028885
249,0.030055
249,0.030687
249,0.03955
249,0.038224
250,0.038995
250,0.031194
250,0.030819
250,0.028159
250,0.25524
251,0.028957
251,0.029725
251,0.031002
251,0.027281
251,0.028964
252,0.030094
252,0.029598
252,0.028443
252,0.030478
252,0.029123
253,0.030142
253,0.028968
253,0.026939
253,0.030108
253,0.031522
254,0.031044
254,0.029559
254,0.030424
254,0.027659
254,0.029713
255,0.029627
255,0.030078
255,0.030971
255,0.043062
255,0.031683
256,0.029222
256,0.030376
256,0.030311
256,0.031197
256,0.033433
257,0.031728
257,0.028101
257,0.045792
257,0.031077
257,0.029274
258,0.031361
258,0.029716
258,0.029084
258,0.030113
258,0.031193
259,0.0304
259,0.032731
259,0.028725
259,0.028214
259,0.030081
260,0.031613
260,0.032494
260,0.029219
260,0.031132
260,0.03229
261,0.033159
261,0.044607
261,0.033719
261,0.030785
261,0.032412
262,0.030752
262,0.034071
262,0.045466
262,0.032452
262,0.032956
263,0.029607
263,0.031556
263,0.028607
263,0.031273
263,0.030168
264,0.029989
264,0.031074
264,0.030549
264,0.02754
264,0.028457
265,0.033648
265,0.031113
265,0.032084
265,0.031622
265,0.032877
266,0.033055
266,0.030403
266,0.029769
266,0.031201
266,0.031288
267,0.031666
267,0.030308
267,0.031488
267,0.033427
267,0.032026
268,0.030987
268,0.031763
268,0.033547
268,0.030446
268,0.033411
269,0.032753
269,0.031366
269,0.032267
269,0.035037
269,0.031651
270,0.031845
270,0.031321
270,0.033487
270,0.030632
270,0.031182
271,0.035094
271,0.047183
271,0.031984
271,0.031974
271,0.034445
272,0.02936
272,0.032421
272,0.031833
272,0.031382
272,0.032815
273,0.031251
273,0.034378
273,0.032839
273,0.03345
273,0.031851
274,0.03515
274,0.03297
274,0.033348
274,0.0308
274,0.032407
275,0.038944
275,0.033897
275,0.033209
275,0.033416
275,0.033957
276,0.033441
276,0.036096
276,0.033599
276,0.032096
276,0.033514
277,0.036452
277,0.037442
277,0.031426
277,0.03487
277,0.033501
278,0.031442
278,0.033788
278,0.040158
278,0.030396
278,0.033203
279,0.032067
279,0.032841
279,0.032508
279,0.036409
279,0.033318
280,0.033486
280,0.031865
280,0.034036
280,0.033665
280,0.030945
281,0.03412
281,0.032128
281,0.030988
281,0.034573
281,0.03205
282,0.033045
282,0.03423
282,0.033238
282,0.033587
282,0.032577
283,0.034122
283,0.034711
283,0.033426
283,0.034114
283,0.033715
284,0.032994
284,0.034902
284,0.03374
284,0.033251
284,0.035507
285,0.033057
285,0.489284
285,0.043944
285,0.033545
285,0.037419
286,0.032202
286,0.033852
286,0.035446
286,0.031894
286,0.03336
287,0.034436
287,0.030711
287,0.035886
287,0.032759
287,0.032238
288,0.037537
288,0.036529
288,0.039274
288,0.034316
288,0.035757
289,0.033942
289,0.033604
289,0.032193
289,0.033573
289,0.037031
290,0.035261
290,0.034942
290,0.033921
290,0.032195
290,0.033612
291,0.034659
291,0.034832
291,0.033388
291,0.037847
291,0.03606
292,0.035293
292,0.035803
292,0.03406
292,0.036422
292,0.036019
293,0.03447
293,0.035442
