n,T(n)
156,0.519043
156,0.83949
156,1.594979
156,0.780667
156,1.416017
157,4.621362
157,0.093356
157,0.765164
157,7.205578
157,0.513666
158,1.413463
158,0.456061
158,0.782159
158,10.093257
158,2.368413
159,1.91327
159,7.353326
159,6.934767
159,0.461445
159,1.836245
160,3.659934
160,0.116223
160,16.498629
160,0.100368
160,0.204546
161,0.464672
161,1.61267
161,0.745433
161,1.217089
161,2.249157
162,0.875594
162,14.385721
162,1.532274
162,14.553971
162,1.667009
163,17.692385
163,4.403945
163,0.192682
163,0.119865
163,6.503273
164,2.33886
164,2.426544
164,15.095531
164,0.741103
164,17.873594
165,1.248065
165,0.28108
165,8.18826
165,0.444556
165,19.400421
166,9.672016
166,2.86091
166,57.948143
166,0.591441
166,20.226555
167,3.164442
167,1.83662
167,2.017007
167,2.067028
167,4.169952
168,4.792908
168,1.381915
168,0.792825
168,3.086965
168,1.026046
169,0.947811
169,1.442131
169,2.17196
169,1.363054
169,2.497041
170,0.963674
170,0.690438
170,6.581484
170,21.993894
170,2.105574
171,1.846603
171,4.249859
171,1.28493
171,10.216576
171,4.431975
172,2.426625
172,1.348745
172,3.526065
172,1.979776
172,5.811272
173,5.428786
173,1.694084
173,0.896352
173,0.446443
173,0.720323
174,12.975102
174,3.754477
174,0.45098
174,2.950761
174,19.236471
175,5.80167
175,1.501656
175,31.639554
175,0.369927
175,1.740824
176,3.357987
176,0.336161
176,1.085545
176,0.670636
176,6.530538
177,1.603582
177,26.410583
177,0.827079
177,2.069823
177,0.245928
178,2.673744
178,2.351202
178,3.231284
178,16.129319
178,1.479372
179,1.271012
179,4.345928
179,1.754535
179,9.368881
179,1.946307
180,4.312249
180,15.433187
180,0.856212
180,4.004121
180,0.520927
181,123.083785
181,4.182832
181,6.843466
181,15.569468
181,5.13137
182,6.536949
182,2.145571
182,0.614467
182,2.986338
182,0.73623
183,28.25397
183,12.246634
183,30.725696
183,0.639935
183,1.308359
184,0.892709
184,1.81537
184,2.093293
184,2.161845
184,1.134875
185,1.502353
185,17.278128
185,189.860292
185,21.720988
185,1.373074
186,18.710514
186,8.101042
186,2.415086
186,8.786717
186,2.48505
187,2.118654
187,103.200153
187,3.815765
187,3.138789
187,6.541853
188,4.072169
188,0.564011
188,1.367729
188,0.476413
188,3.329452
189,12.563597
189,1.284017
189,11.414163
189,18.396555
189,2.560582
190,11.51894
190,2.061099
190,0.637424
190,10.627991
190,5.359236
191,8.622846
191,23.570535
191,12.065322
191,2.630118
191,12.239908
192,10.912348
192,0.574351
192,0.802614
192,1.755377
192,2.102854
193,1.545291
193,14.167545
193,126.429983
193,5.726797
193,6.362717
194,78.701813
194,23.962664
194,0.348539
194,2.90911
194,7.175997
195,2.063675
195,11.513477
195,2.45694
195,2.627323
195,2.518511
196,2.001004
196,1.295202
196,0.498935
196,0.931623
196,13.17464
197,13.502398
197,1.03543
197,1.597458
197,44.132017
197,5.075648
198,9.185487
198,42.692402
198,0.447463
198,1.2784
198,11.653822
199,10.506435
199,7.042288
199,6.929868
199,6.123937
199,1.764483
200,8.658734
200,4.922245
200,14.670526
200,2.246674
200,16.112156
201,69.198846
201,7.292533
201,9.857968
201,4.550254
201,13.861235
202,5.023166
202,19.331233
202,29.75449
202,5.829797
202,79.128016
203,1.994358
203,12.76172
203,23.904955
203,0.210765
203,5.007367
204,1.284351
204,47.18193
204,15.161128
204,1.326264
204,1.085702
205,5.089186
205,3.871275
205,1.95338
205,15.011608
205,2.594699
206,291.671218
206,13.226019
206,6.544314
206,6.846911
206,3.899474
207,1.883474
207,70.860775
207,104.326381
207,5.221042
207,1.084539
208,0.610788
208,1.051997
208,8.434929
208,99.215288
208,7.937814
209,23.449495
209,1.913477
209,6.478815
209,7.633433
209,3.74869
210,1.771595
210,19.955235
210,4.43652
210,38.297324
210,2.081383
211,3.146721
211,11.042605
211,7.65128
211,74.337528
211,4.284303
212,117.650566
212,2.326582
212,10.111899
212,26.034429
212,39.86533
213,28.604091
213,7.257575
213,3.060773
213,5.118256
213,1.063839
214,29.468352
214,2.189002
214,0.913544
214,45.880436
214,19.741823
215,8.848082
215,6.831952
215,18.860073
215,24.270229
215,0.344582
216,39.043233
216,151.359106
216,3.864743
